商品,價格1,價格2,網址,圖片
新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）,279,279,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.133999892.2682624797,https://cf.shopee.tw/file/39d0bf01906dfe7f1ff7fbc4fc838aa7_tn
絕對合格新制日檢必勝N2情境分類單字(25K+MP3),292,292,https://shopee.tw//絕對合格新制日檢必勝N2情境分類單字(25K-MP3)-i.20570968.2618649102,https://cf.shopee.tw/file/1888e8ab3dce0548120a9386541dbc69_tn
9789862465530【大師圖書山田社-】絕對合格！新制日檢 必勝N2情境分類單字（25K＋MP3）,292,292,https://shopee.tw//9789862465530【大師圖書山田社-】絕對合格！新制日檢-必勝N2情境分類單字（25K＋MP3）-i.59926168.2622571595,https://cf.shopee.tw/file/80647b94b21e076aa45561a3e9046fb3_tn
《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全[9折],539,539,https://shopee.tw//《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全-9折--i.42458033.3348577843,https://cf.shopee.tw/file/c84628c825023da2239e0b54d13e16e3_tn
精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）<啃書>,322,322,https://shopee.tw//精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）-啃書--i.110866578.2363626123,https://cf.shopee.tw/file/8087865aaf93ce51f3c32f2665c772b2_tn
"<書本熊>[山田]新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）：9789862465073",370,370,https://shopee.tw//-書本熊-山田-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.25236816.3809367557,https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn
袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,253,253,https://shopee.tw//袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.20570968.3317497109,https://cf.shopee.tw/file/1e344bac6919330ef6cdc5ea2f016cc1_tn
9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋,473,473,https://shopee.tw//9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋-i.59926168.2622475020,https://cf.shopee.tw/file/ac20cb939065c11a9f265c9f62246b5f_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格[88折]11100791004,351,351,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-88折-11100791004-i.159834670.3916668431,https://cf.shopee.tw/file/9d7463bd18221adcc7536e000115b97f_tn
日檢單字+文法一本搞定N2(+MP3),288,288,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.20570968.2418089827,https://cf.shopee.tw/file/0b72b2386d417129fa007b987e664366_tn
精修重音版新制對應絕對合格！日檢必背單字N2（25K+MP3）[88折]11100879138,378,378,https://shopee.tw//精修重音版新制對應絕對合格！日檢必背單字N2（25K-MP3）-88折-11100879138-i.159834670.4513757436,https://cf.shopee.tw/file/226c39b8f8f4c4208e65b45666556044_tn
【ttbooks】絕對合格！新制日檢 必勝N2情境分類單字（25K＋MP3）,277,277,https://shopee.tw//【ttbooks】絕對合格！新制日檢-必勝N2情境分類單字（25K＋MP3）-i.105074887.2456554240,https://cf.shopee.tw/file/80647b94b21e076aa45561a3e9046fb3_tn
"《山田社》精裝本重音版新日檢絕對合格N1,N2,N3,N4,N5單字大全(軟精)[79折]",473,473,https://shopee.tw//《山田社》精裝本重音版新日檢絕對合格N1-N2-N3-N4-N5單字大全(軟精)-79折--i.42458033.3248005235,https://cf.shopee.tw/file/1a4ca82dcf3fec5640835e11e3c7e366_tn
絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3),258,258,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.133999892.2666955771,https://cf.shopee.tw/file/3b8584064ad60ac73e2bd98b6df1c962_tn
《度度鳥》袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K│山田社-大原文化│吉松由美│全新│定價：320元,253,253,https://shopee.tw//《度度鳥》袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K│山田社-大原文化│吉松由美│全新│定價：320元-i.20367044.3617530979,https://cf.shopee.tw/file/dc19181450895c19bfd908fa6e2ed20a_tn
9789862465455﹝大師圖書山田社-﹞精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）,339,339,https://shopee.tw//9789862465455﹝大師圖書山田社-﹞精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）-i.100214108.2361614445,https://cf.shopee.tw/file/8087865aaf93ce51f3c32f2665c772b2_tn
<書本熊二館>[山田社]袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）：9789866692215,252,252,https://shopee.tw//-書本熊二館-山田社-袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）：9789866692215-i.155768384.3720704892,https://cf.shopee.tw/file/b250a1ff60919066259800bb79da89f0_tn
新日檢考試有祕密：全方位N2單字+全真模擬試題[二手書_良好]8255,310,310,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-二手書_良好-8255-i.159834670.4452767799,https://cf.shopee.tw/file/475511ec23ef20f13c6bca468bbba880_tn
史上最強日檢N2文法+單字精選模擬試題,170,170,https://shopee.tw//史上最強日檢N2文法-單字精選模擬試題-i.43157388.2112454780,https://cf.shopee.tw/file/f55917339c90733dd0cb4b4bdc147bdd_tn
我識出版 日檢【新日檢JLPT N2關鍵單字2500(蔡麗玲)】(2019年4月),300,300,https://shopee.tw//我識出版-日檢【新日檢JLPT-N2關鍵單字2500(蔡麗玲)】(2019年4月)-i.97363674.2091986295,https://cf.shopee.tw/file/3ed4844e5382d27e6321458f4f9e2bf5_tn
新日檢N2單字帶著背,269,269,https://shopee.tw//新日檢N2單字帶著背-i.20570968.2357732467,https://cf.shopee.tw/file/3380e08ce7f1b77f869cf1f5e02ff8ef_tn
新制日檢絕對合格N1.N2.N3.N4.N5單字大全(25K+MP3)(20,315,315,https://shopee.tw//新制日檢絕對合格N1.N2.N3.N4.N5單字大全(25K-MP3)(20-i.20570968.2357728750,https://cf.shopee.tw/file/841a8c3f8daf5ca73c785a9ec30c6d21_tn
《山田社》新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解[9折],359,359,https://shopee.tw//《山田社》新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解-9折--i.42458033.3247571537,https://cf.shopee.tw/file/0e001c5f3b25c09db566583fbea3ebcf_tn
精修重音版新制對應絕對合格日檢必背單字N2(25K+MP3),339,339,https://shopee.tw//精修重音版新制對應絕對合格日檢必背單字N2(25K-MP3)-i.20570968.2357777493,https://cf.shopee.tw/file/5063a0208aae835d499aa7f60c9577e8_tn
新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),336,336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.121090005.2085658432,https://cf.shopee.tw/file/0583eea715eea7397affc8c1bf3a3e21_tn
精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K+MP3),473,473,https://shopee.tw//精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K-MP3)-i.20570968.2357577591,https://cf.shopee.tw/file/1a2059e1f5d6b24a68202ab4c068121d_tn
新日檢JLPT N2關鍵單字2500,299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2500-i.20570968.2357770484,https://cf.shopee.tw/file/6a452c1a82d7138c1a0b883e20c865d3_tn
新日檢考試有祕密(全方位N2單字+全真模擬試題),355,355,https://shopee.tw//新日檢考試有祕密(全方位N2單字-全真模擬試題)-i.20570968.2357512935,https://cf.shopee.tw/file/57b5524b73b2a04a33546b53be2eaf8b_tn
【新書】新制日檢！絕對合格N1，N2單字全真模考三回＋詳解...山田社,277,277,https://shopee.tw//【新書】新制日檢！絕對合格N1，N2單字全真模考三回＋詳解...山田社-i.27589027.1558270655,https://cf.shopee.tw/file/b86e7d3b8dc79df5403568907fa9f4ec_tn
"浩瀚星海【日語學習】全新《新制日檢！絕對合格N1,N2單字全真模考三回+詳解》山田社│9789862465073",221,221,https://shopee.tw//浩瀚星海【日語學習】全新《新制日檢！絕對合格N1-N2單字全真模考三回-詳解》山田社│9789862465073-i.35699463.1556994442,https://cf.shopee.tw/file/66ea9ad6d2d38dfd35665631de90b81a_tn
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD)",299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD)-i.1906015.2097234663,https://cf.shopee.tw/file/f41da61ee5ebec15a76b3a61370270b8_tn
"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全",460,460,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全-i.163145167.2546350635,https://cf.shopee.tw/file/d651024d19f813a23518a101e0a34b10_tn
9789866567971﹝瑞蘭國際﹞新日檢N2單字帶著背！,236,236,https://shopee.tw//9789866567971﹝瑞蘭國際﹞新日檢N2單字帶著背！-i.59926168.1686477788,https://cf.shopee.tw/file/e99f8751666bcfcb65bac8fcf1a732cc_tn
新制對應 絕對合格！日檢單字N2(增訂版),260,260,https://shopee.tw//新制對應-絕對合格！日檢單字N2(增訂版)-i.2249108.1520808628,https://cf.shopee.tw/file/9e7f6d7eca9eb88e7647e65ae834413d_tn
日檢N2 單字 文法 合售,520,520,https://shopee.tw//日檢N2-單字-文法-合售-i.47955478.1479574182,https://cf.shopee.tw/file/236dda535e32c16838cdbd477e9c444e_tn
日檢單字+文法一本搞定N2(附1MP3),224,224,https://shopee.tw//日檢單字-文法一本搞定N2(附1MP3)-i.17676261.1522016594,https://cf.shopee.tw/file/c19ac580b46a6b2e63b41da9ca2696dc_tn
日檢N2 單字,300,300,https://shopee.tw//日檢N2-單字-i.47955478.1479557440,https://cf.shopee.tw/file/a6894324896979da95aa5f25b6a1b242_tn
日檢單字+文法一本搞定N2(+MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.121090005.1963965146,https://cf.shopee.tw/file/eed4e588426791c4d473074b4bc21027_tn
"精修版新制日檢！絕對合格N1,N2必背單字大全（25K＋MP3）[88折]11100813386",370,370,https://shopee.tw//精修版新制日檢！絕對合格N1-N2必背單字大全（25K＋MP3）-88折-11100813386-i.159834670.3213954156,https://cf.shopee.tw/file/8b3cfc7d54555b08e8224f306d9e5545_tn
絕對合格日檢單字N2新制對應,250,250,https://shopee.tw//絕對合格日檢單字N2新制對應-i.19234589.1256256145,https://cf.shopee.tw/file/817ce799edeaeae45c83dd4c7e81f3cc_tn
<書本熊>新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）：9789862465202,315,315,https://shopee.tw//-書本熊-新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）：9789862465202-i.25236816.1734481831,https://cf.shopee.tw/file/4a3038aec0f6fd619a97415d470b51b0_tn
日檢單字+文法一本搞定N2,240,240,https://shopee.tw//日檢單字-文法一本搞定N2-i.43157388.1438102108,https://cf.shopee.tw/file/09047156382aa9a8ec531a4eaf9fd250_tn
♥ 御菁書坊 ♥ 世一--日檢N2單字大全《搶分進考場》,195,195,https://shopee.tw//♥-御菁書坊-♥-世一-日檢N2單字大全《搶分進考場》-i.12181237.1080685304,https://cf.shopee.tw/file/87c4516afbf3295914b88a3d96b69c15_tn
9789862463536﹝山田社-﹞（修訂版）新制日檢！絕對合格 N1、N2、N3、N4、N5單字大全（25K+MP3,315,315,https://shopee.tw//9789862463536﹝山田社-﹞（修訂版）新制日檢！絕對合格-N1、N2、N3、N4、N5單字大全（25K-MP3-i.59926168.1686159444,https://cf.shopee.tw/file/55f563236c63ae53cd4eea4e5594b2b8_tn
9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M,506,506,https://shopee.tw//9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M-i.59926168.1683593073,https://cf.shopee.tw/file/59ac05959ed07804acf95ca7d2343f70_tn
新制日檢絕對合格N2單字文法閱讀聽力全真模考三回+詳解(16K+MP3),315,315,https://shopee.tw//新制日檢絕對合格N2單字文法閱讀聽力全真模考三回-詳解(16K-MP3)-i.20570968.2357523177,https://cf.shopee.tw/file/934e33beee113eb3982a876085762bc3_tn
9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K+DVD）,236,236,https://shopee.tw//9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K-DVD）-i.59926168.1683593164,https://cf.shopee.tw/file/7a93a871fd8bd1f50168c1f105e7f174_tn
<建宏>精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全2018/10/9789862465172,506,506,https://shopee.tw//-建宏-精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全2018-10-9789862465172-i.39144451.1725343436,https://cf.shopee.tw/file/d08b289b4484c0138ef41d6ba60f650a_tn
日檢單字+文法一本搞定N2 (附MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2-(附MP3)-i.13135834.1600429764,https://cf.shopee.tw/file/5b9a7d00bc833eb87ca51bb9dd1cb73b_tn
絕對合格 N2日檢必背單字,250,250,https://shopee.tw//絕對合格-N2日檢必背單字-i.1733070.286618578,https://cf.shopee.tw/file/0485a556ef4db190bbb84b14ffc63b7b_tn
