商品,價格1,價格2,網址,圖片
✨新日檢N2單字、文法、詞彙書,300,300,https://shopee.tw//✨新日檢N2單字、文法、詞彙書-i.3120326.31199388,https://cf.shopee.tw/file/2c5f179696c3354063801ad7b8101c9b_tn
"精修版 新制日檢！絕對合格 N1,N2必背單字大全 附MP3光碟 二手書",150,150,https://shopee.tw//精修版-新制日檢！絕對合格-N1-N2必背單字大全-附MP3光碟-二手書-i.80148611.6032564407,https://cf.shopee.tw/file/9df6030003a5e5e889ba1254df0a111b_tn
<讀好書>精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全2018/10/9789862465172,504,504,https://shopee.tw//-讀好書-精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全2018-10-9789862465172-i.23603259.1725343126,https://cf.shopee.tw/file/d08b289b4484c0138ef41d6ba60f650a_tn
絕對合格日檢必背單字N2,200,200,https://shopee.tw//絕對合格日檢必背單字N2-i.12753039.5531692565,https://cf.shopee.tw/file/975c6db6f67237b92dd0dafdb6f89233_tn
絕對合格 日檢必背單字N2 (袖珍版）,160,160,https://shopee.tw//絕對合格-日檢必背單字N2-(袖珍版）-i.9252814.4160830164,https://cf.shopee.tw/file/bb5a8b27220de0e784b6950f75a2ea81_tn
"<讀好書>新制日檢！絕對合格N1,N2單字全真模考三回＋詳解201808月/山田社/9789862465073",289,289,https://shopee.tw//-讀好書-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.23603259.1473554709,https://cf.shopee.tw/file/776965b2ad81fab4476383f640116dc1_tn
【近全新】山田社 絕對合格日檢必背單字N2新制對應,280,280,https://shopee.tw//【近全新】山田社-絕對合格日檢必背單字N2新制對應-i.13141890.7162950237,https://cf.shopee.tw/file/f83cb966ec87090b4f8a809754a882f7_tn
<建宏>最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018/03/9789578904026,392,392,https://shopee.tw//-建宏-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026-i.39144451.1015876940,https://cf.shopee.tw/file/69a84a584427b7482fb9ab498ecea167_tn
<讀好書>最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018/03/9789578904026,390,390,https://shopee.tw//-讀好書-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026-i.23603259.1005428101,https://cf.shopee.tw/file/69a84a584427b7482fb9ab498ecea167_tn
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！",150,150,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！-i.9394233.4663619827,https://cf.shopee.tw/file/4265f0f229026e51a9e93f1eeb07562d_tn
<建宏>日檢單字+文法一本搞定N2(+MP3) 9789869608633 雅典文化,253,253,https://shopee.tw//-建宏-日檢單字-文法一本搞定N2(-MP3)-9789869608633-雅典文化-i.39144451.1062214923,https://cf.shopee.tw/file/8e0d2aa3be5665d1ffc5caea992b5211_tn
捷徑最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺!(采舍),425,425,https://shopee.tw//捷徑最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺!(采舍)-i.68770059.5363073839,https://cf.shopee.tw/file/5a698c0897c9f10b1c5789c66b77e82a_tn
新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16K+MP3） [二手書_良好] 0986,285,285,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16K-MP3）-二手書_良好-0986-i.159834670.5363022005,https://cf.shopee.tw/file/c404cfe5d7c8cd7827de83b6c54023f0_tn
♥S&E♥日檢N2單字大全《搶分進考場》NE0003-1 印刷凸顯 紅藍遮色片替換 單字學習法，彩色印刷凸顯重點,260,260,https://shopee.tw//♥S-E♥日檢N2單字大全《搶分進考場》NE0003-1-印刷凸顯-紅藍遮色片替換-單字學習法，彩色印刷凸顯重點-i.7386720.3810869236,https://cf.shopee.tw/file/56f8af0e1ea6d2ac90e5cd0e1388f76e_tn
